specbzip,2.277211,2.279221,2.278125,2.278351
spechmmer,1.246174,1.244909,1.243890,1.243647
speclibm,2.606846,2.606584,2.606846,2.606846
specmcf,1.690563,1.459703,1.286428,1.286428
specsjeng,4.051005,4.050959,4.050964,4.050928
